survey_id;vol_id;numero_vol;date_vol;route;courrier;classe;note_globale;note_confort;note_repas;note_divertissement;note_equipage;note_ponctualite;note_enregistrement;nps_categorie;recommandation;type_voyageur;programme_fidelite;nationalite
SAT-000010;VOL-000585;AF1152;2023-01-10;CDG → LHR;Court-courrier;Business;7.1;9.8;7.7;4.2;10.0;6.9;6.5;Passif;Oui;Solo;Non inscrit;Française
SAT-000011;VOL-019085;AF1166;2023-11-18;CDG → FCO;Court-courrier;Premium Éco;8.1;8.2;9.3;7.2;7.2;9.6;7.6;Passif;Peut-être;Famille;Non inscrit;Autre
SAT-000012;VOL-026136;AF7143;2024-03-16;ORY → LYS;Court-courrier;Premium Éco;7.7;5.4;10.0;6.7;8.3;9.4;7.2;Passif;Peut-être;Solo;Non inscrit;Autre
SAT-000013;VOL-031737;AF7613;2024-06-20;CDG → TLS;Court-courrier;Business;8.0;7.8;6.7;6.2;9.1;9.8;8.4;Passif;Oui;Famille;Gold;Autre
SAT-000014;VOL-028534;AF0235;2024-04-26;CDG → ATL;Long-courrier;Économique;7.8;6.5;8.6;7.3;10.0;4.1;9.4;Passif;Oui;Loisirs;Non inscrit;Allemande
SAT-000015;VOL-008564;AF1176;2023-05-25;CDG → BCN;Court-courrier;Économique;8.5;8.1;5.8;7.0;9.7;9.5;8.6;Passif;Peut-être;Loisirs;Explorer;Autre
SAT-000016;VOL-032845;AF0311;2024-07-10;CDG → SGN;Long-courrier;Économique;6.1;6.8;3.2;7.0;6.8;9.5;3.1;Détracteur;Peut-être;Solo;Explorer;Américaine
SAT-000017;VOL-009246;AF1263;2023-06-05;CDG → CMN;Court-courrier;Économique;7.5;9.9;8.2;1.8;7.5;10.0;7.5;Passif;Non;Affaires;Explorer;Française
SAT-000018;VOL-041423;AF7618;2024-12-02;CDG → NCE;Court-courrier;Business;7.0;8.7;10.0;6.3;9.9;1.0;7.7;Passif;Non;Affaires;Non inscrit;Américaine
SAT-000019;VOL-000212;AF0301;2023-01-04;CDG → ICN;Long-courrier;Économique;8.0;8.9;8.8;6.8;6.6;9.2;6.8;Passif;Non;Affaires;Non inscrit;Américaine
SAT-000020;VOL-009378;AF0232;2023-06-08;CDG → MIA;Long-courrier;Business;8.3;8.6;8.5;6.5;9.0;10.0;7.9;Passif;Oui;Loisirs;Non inscrit;Française
SAT-000021;VOL-005223;AF7132;2023-03-29;ORY → TLS;Court-courrier;Économique;7.7;4.9;7.5;8.9;7.6;9.5;8.8;Passif;Oui;Famille;Non inscrit;Autre
SAT-000022;VOL-035589;AF7145;2024-08-26;ORY → NTE;Court-courrier;Économique;8.2;5.6;8.2;10.0;9.6;9.0;8.7;Passif;Peut-être;Affaires;Non inscrit;Américaine
SAT-000023;VOL-023467;AF0216;2024-01-31;CDG → LAX;Long-courrier;Économique;6.6;6.0;7.5;4.6;8.1;9.1;6.3;Détracteur;Oui;Affaires;Silver;Française
SAT-000024;VOL-040305;AF1152;2024-11-13;CDG → LHR;Court-courrier;Économique;7.1;4.0;5.1;4.1;8.7;9.2;9.7;Passif;Oui;Affaires;Explorer;Brésilienne
SAT-000025;VOL-023805;AF0292;2024-02-05;CDG → PVG;Long-courrier;Business;7.1;8.2;9.7;4.8;7.4;6.1;7.0;Passif;Oui;Affaires;Gold;Française
SAT-000026;VOL-014467;AF7613;2023-09-01;CDG → TLS;Court-courrier;Économique;7.8;6.8;6.3;9.0;8.6;10.0;8.2;Passif;Peut-être;Loisirs;Explorer;Chinoise
SAT-000027;VOL-036995;AF0286;2024-09-18;CDG → NRT;Long-courrier;Économique;8.8;8.5;8.8;9.4;8.7;8.6;7.5;Passif;Oui;Loisirs;Non inscrit;Américaine
SAT-000028;VOL-013337;AF7134;2023-08-14;ORY → NCE;Court-courrier;Économique;7.7;6.8;6.9;6.0;9.7;6.8;8.6;Passif;Oui;Loisirs;Non inscrit;Française
SAT-000029;VOL-010259;AF0341;2023-06-23;CDG → FDF;Long-courrier;Économique;7.7;8.1;6.7;5.4;7.7;9.0;8.2;Passif;Oui;Solo;Non inscrit;Autre
SAT-000030;VOL-044054;AF1166;2025-01-15;CDG → FCO;Court-courrier;Économique;7.4;7.7;6.0;7.2;9.0;8.8;7.2;Passif;Peut-être;Affaires;Non inscrit;Autre
SAT-000031;VOL-017807;AF0341;2023-10-27;CDG → FDF;Long-courrier;Économique;8.1;6.0;5.9;10.0;7.5;9.3;7.9;Passif;Oui;Famille;Non inscrit;Française
SAT-000032;VOL-038373;AF7132;2024-10-12;ORY → TLS;Court-courrier;Économique;6.8;5.7;5.2;8.0;6.0;9.2;7.5;Détracteur;Oui;Loisirs;Explorer;Autre
SAT-000033;VOL-046135;AF1166;2025-02-21;CDG → FCO;Court-courrier;Économique;8.7;10.0;8.3;7.5;6.7;10.0;6.5;Passif;Oui;Solo;Non inscrit;Autre
SAT-000034;VOL-018378;AF0228;2023-11-06;CDG → YUL;Long-courrier;Économique;7.9;9.5;7.2;8.5;7.4;8.6;7.2;Passif;Oui;Affaires;Non inscrit;Française
SAT-000035;VOL-047148;AF1273;2025-03-10;CDG → DKR;Moyen-courrier;Économique;7.3;9.3;6.2;6.9;8.6;8.7;6.6;Passif;Oui;Famille;Gold;Française
SAT-000036;VOL-046345;AF0241;2025-02-24;CDG → ORD;Long-courrier;Économique;7.2;10.0;5.5;7.4;6.0;6.7;4.8;Passif;Peut-être;Loisirs;Explorer;Française
SAT-000037;VOL-000890;AF7618;2023-01-16;CDG → NCE;Court-courrier;Économique;6.7;6.0;6.2;7.2;6.0;9.2;7.7;Détracteur;Peut-être;Loisirs;Silver;Allemande
SAT-000038;VOL-048607;AF7620;2025-04-05;CDG → BOD;Court-courrier;Économique;8.6;8.1;9.2;6.0;8.1;9.8;8.2;Passif;Peut-être;Famille;Non inscrit;Française
SAT-000039;VOL-028387;AF7618;2024-04-24;CDG → NCE;Court-courrier;Économique;7.3;6.2;5.3;7.0;10.0;8.0;7.6;Passif;Oui;Solo;Non inscrit;Brésilienne
SAT-000040;VOL-002322;AF1152;2023-02-08;CDG → LHR;Court-courrier;Économique;7.3;6.6;6.9;7.8;7.1;9.2;7.3;Passif;Oui;Loisirs;Non inscrit;Britannique
SAT-000041;VOL-050513;AF7618;2025-05-07;CDG → NCE;Court-courrier;Économique;6.3;6.1;6.5;7.4;5.9;7.4;5.0;Détracteur;Peut-être;Affaires;Non inscrit;Brésilienne
SAT-000042;VOL-019011;AF1172;2023-11-16;CDG → MAD;Court-courrier;Business;8.7;8.5;8.1;10.0;8.1;8.9;9.5;Passif;Oui;Loisirs;Gold;Française
SAT-000043;VOL-027269;AF0346;2024-04-05;CDG → RUN;Long-courrier;Économique;8.2;7.0;9.1;5.2;9.0;9.6;10.0;Passif;Oui;Affaires;Non inscrit;Britannique
SAT-000044;VOL-030231;AF7145;2024-05-24;ORY → NTE;Court-courrier;Économique;7.3;7.7;6.8;4.9;8.1;10.0;8.5;Passif;Peut-être;Loisirs;Gold;Française
SAT-000045;VOL-007272;AF1267;2023-05-04;CDG → ALG;Court-courrier;Économique;8.6;8.6;10.0;8.6;6.4;8.2;8.9;Passif;Non;Affaires;Platinum;Française
SAT-000046;VOL-049880;AF7607;2025-04-27;CDG → LYS;Court-courrier;Économique;8.2;8.4;7.0;8.2;9.1;9.2;9.1;Passif;Oui;Affaires;Non inscrit;Française
SAT-000047;VOL-025222;AF1267;2024-02-29;CDG → ALG;Court-courrier;Économique;7.4;7.9;4.7;6.1;6.4;9.4;7.6;Passif;Oui;Loisirs;Non inscrit;Française
SAT-000048;VOL-008718;AF0298;2023-05-27;CDG → HKG;Long-courrier;Économique;7.3;7.0;6.6;5.0;6.7;9.6;8.3;Passif;Oui;Loisirs;Silver;Chinoise
SAT-000049;VOL-031306;AF0258;2024-06-13;CDG → EZE;Long-courrier;Économique;7.4;9.3;5.5;6.4;9.7;8.2;7.2;Passif;Oui;Loisirs;Non inscrit;Autre
SAT-000050;VOL-048612;AF1159;2025-04-05;CDG → FRA;Court-courrier;Économique;7.4;9.2;6.4;6.4;7.3;10.0;6.7;Passif;Oui;Affaires;Non inscrit;Allemande
SAT-000051;VOL-005205;AF0211;2023-03-29;CDG → JFK;Long-courrier;Économique;7.7;8.4;5.5;5.1;9.7;8.3;9.7;Passif;Oui;Famille;Non inscrit;Autre
SAT-000052;VOL-012065;AF7620;2023-07-23;CDG → BOD;Court-courrier;Économique;7.1;8.7;7.5;7.3;7.3;9.4;6.3;Passif;Oui;Loisirs;Explorer;Américaine
SAT-000053;VOL-006653;AF0216;2023-04-23;CDG → LAX;Long-courrier;Économique;8.1;8.9;9.1;5.6;8.2;7.6;8.6;Passif;Peut-être;Solo;Gold;Américaine
SAT-000054;VOL-048593;AF1273;2025-04-05;CDG → DKR;Moyen-courrier;Économique;7.2;8.7;4.9;6.7;6.7;8.8;5.2;Passif;Oui;Loisirs;Non inscrit;Française
SAT-000055;VOL-003180;AF1152;2023-02-22;CDG → LHR;Court-courrier;Économique;6.3;9.0;5.2;6.3;8.2;1.0;8.4;Détracteur;Oui;Solo;Explorer;Allemande
SAT-000056;VOL-039370;AF0216;2024-10-29;CDG → LAX;Long-courrier;Économique;7.4;8.6;4.3;6.0;9.4;9.3;7.0;Passif;Oui;Affaires;Explorer;Américaine
SAT-000057;VOL-000429;AF0284;2023-01-08;CDG → JNB;Long-courrier;Business;9.3;6.6;9.7;9.5;10.0;10.0;7.8;Promoteur;Non;Solo;Platinum;Autre
SAT-000058;VOL-031019;AF1263;2024-06-08;CDG → CMN;Court-courrier;Économique;7.9;6.7;10.0;6.2;7.4;10.0;7.4;Passif;Oui;Famille;Non inscrit;Française
SAT-000059;VOL-042551;AF1182;2024-12-21;CDG → MUC;Court-courrier;Économique;7.7;7.6;7.2;3.2;10.0;9.4;7.2;Passif;Non;Famille;Non inscrit;Française
SAT-000060;VOL-021489;AF7132;2023-12-28;ORY → TLS;Court-courrier;Business;8.8;9.1;6.2;9.9;8.7;10.0;8.7;Passif;Peut-être;Solo;Non inscrit;Américaine
SAT-000061;VOL-026031;AF0216;2024-03-14;CDG → LAX;Long-courrier;Économique;7.5;5.6;6.6;9.0;10.0;8.3;7.1;Passif;Oui;Loisirs;Non inscrit;Américaine
SAT-000062;VOL-041255;AF1278;2024-11-30;CDG → ABJ;Moyen-courrier;Business;7.6;7.0;10.0;6.3;8.8;5.1;8.2;Passif;Peut-être;Loisirs;Non inscrit;Française
SAT-000063;VOL-021407;AF0241;2023-12-27;CDG → ORD;Long-courrier;Économique;7.5;7.5;3.8;9.1;7.9;9.4;7.4;Passif;Non;Loisirs;Non inscrit;Française
SAT-000064;VOL-013579;AF0241;2023-08-18;CDG → ORD;Long-courrier;Économique;5.4;5.3;4.7;6.2;7.5;2.2;6.5;Détracteur;Oui;Affaires;Non inscrit;Japonaise
SAT-000065;VOL-034347;AF1204;2024-08-05;CDG → ATH;Moyen-courrier;Business;7.8;6.3;10.0;5.5;8.3;10.0;6.9;Passif;Oui;Affaires;Non inscrit;Autre
SAT-000066;VOL-023892;AF1200;2024-02-06;CDG → ARN;Court-courrier;Économique;7.7;9.4;4.4;4.6;9.5;9.1;9.1;Passif;Oui;Famille;Explorer;Autre
SAT-000067;VOL-047678;AF7618;2025-03-19;CDG → NCE;Court-courrier;Économique;7.3;6.0;8.3;6.3;7.0;8.0;7.3;Passif;Oui;Famille;Silver;Française
SAT-000068;VOL-039883;AF7613;2024-11-06;CDG → TLS;Court-courrier;Business;7.5;7.8;3.9;7.1;9.5;8.1;5.0;Passif;Oui;Loisirs;Non inscrit;Chinoise
SAT-000069;VOL-001793;AF0314;2023-01-30;CDG → DEL;Long-courrier;Économique;7.1;8.4;8.0;8.8;8.8;1.0;7.4;Passif;Oui;Affaires;Non inscrit;Américaine
SAT-000070;VOL-004407;AF7143;2023-03-16;ORY → LYS;Court-courrier;Économique;8.8;7.7;5.8;7.3;10.0;10.0;8.4;Passif;Oui;Famille;Gold;Britannique
SAT-000071;VOL-049805;AF1273;2025-04-25;CDG → DKR;Moyen-courrier;Économique;9.0;7.0;10.0;6.5;10.0;9.3;6.1;Promoteur;Peut-être;Affaires;Explorer;Française
SAT-000072;VOL-025618;AF0311;2024-03-07;CDG → SGN;Long-courrier;Économique;7.1;8.2;2.7;5.1;8.4;10.0;6.9;Passif;Oui;Affaires;Gold;Britannique
SAT-000073;VOL-033067;AF1278;2024-07-14;CDG → ABJ;Moyen-courrier;Business;8.9;9.9;8.2;7.9;7.6;10.0;7.9;Passif;Oui;Loisirs;Explorer;Britannique
SAT-000074;VOL-014399;AF1159;2023-08-31;CDG → FRA;Court-courrier;Premium Éco;5.8;6.2;8.9;6.8;6.5;1.0;6.3;Détracteur;Peut-être;Affaires;Platinum;Autre
SAT-000075;VOL-003758;AF7143;2023-03-04;ORY → LYS;Court-courrier;Économique;7.5;5.0;8.9;6.9;7.6;8.3;8.6;Passif;Oui;Famille;Non inscrit;Française
SAT-000076;VOL-036581;AF0228;2024-09-11;CDG → YUL;Long-courrier;Économique;5.8;7.1;5.6;3.2;7.8;7.4;7.0;Détracteur;Peut-être;Loisirs;Explorer;Française
SAT-000077;VOL-014766;AF1172;2023-09-06;CDG → MAD;Court-courrier;Économique;8.1;9.7;7.8;8.6;9.5;3.7;6.8;Passif;Non;Loisirs;Platinum;Britannique
SAT-000078;VOL-024562;AF7618;2024-02-18;CDG → NCE;Court-courrier;Business;9.4;8.7;9.6;7.1;7.4;10.0;10.0;Promoteur;Non;Loisirs;Explorer;Américaine
SAT-000079;VOL-014888;AF0338;2023-09-08;CDG → PTP;Long-courrier;Économique;7.3;8.3;5.1;6.2;5.4;8.0;8.7;Passif;Oui;Loisirs;Gold;Chinoise
SAT-000080;VOL-014511;AF7143;2023-09-02;ORY → LYS;Court-courrier;Économique;7.0;6.7;6.8;6.6;9.1;10.0;6.1;Passif;Oui;Loisirs;Silver;Française
SAT-000081;VOL-050151;AF1172;2025-05-01;CDG → MAD;Court-courrier;Économique;8.1;7.1;6.8;8.2;10.0;7.4;8.5;Passif;Oui;Affaires;Explorer;Autre
SAT-000082;VOL-020712;AF0324;2023-12-14;CDG → DXB;Long-courrier;Économique;7.5;9.2;9.0;6.9;7.5;5.1;8.5;Passif;Peut-être;Loisirs;Non inscrit;Chinoise
SAT-000083;VOL-027950;AF7141;2024-04-17;ORY → BOD;Court-courrier;Business;7.3;5.7;7.2;8.7;7.2;10.0;6.3;Passif;Oui;Solo;Non inscrit;Chinoise
SAT-000084;VOL-002445;AF7626;2023-02-10;CDG → NTE;Court-courrier;Économique;8.2;8.3;8.2;9.4;8.8;8.6;5.9;Passif;Oui;Affaires;Silver;Autre
SAT-000085;VOL-043793;AF1157;2025-01-10;CDG → AMS;Court-courrier;Économique;6.0;8.0;3.9;6.9;7.4;10.0;3.9;Détracteur;Peut-être;Affaires;Explorer;Américaine
SAT-000086;VOL-017190;AF0320;2023-10-17;CDG → SIN;Long-courrier;Économique;7.5;10.0;7.6;4.4;7.8;9.2;7.6;Passif;Oui;Loisirs;Silver;Britannique
SAT-000087;VOL-010733;AF7607;2023-07-01;CDG → LYS;Court-courrier;Économique;7.4;8.3;3.5;6.4;9.6;10.0;7.5;Passif;Oui;Famille;Silver;Autre
SAT-000088;VOL-046146;AF1278;2025-02-21;CDG → ABJ;Moyen-courrier;Économique;7.3;5.5;9.8;7.6;8.7;5.8;5.9;Passif;Oui;Loisirs;Explorer;Autre
SAT-000089;VOL-012004;AF1180;2023-07-22;CDG → LIS;Court-courrier;Économique;8.0;4.5;6.8;9.9;10.0;9.1;8.2;Passif;Oui;Famille;Non inscrit;Française
SAT-000090;VOL-031460;AF7134;2024-06-16;ORY → NCE;Court-courrier;Économique;7.0;6.6;3.8;5.9;9.5;10.0;8.2;Passif;Oui;Famille;Silver;Brésilienne
SAT-000091;VOL-007672;AF1187;2023-05-10;CDG → VIE;Court-courrier;Économique;6.5;4.4;4.8;5.6;9.1;9.9;6.1;Détracteur;Oui;Famille;Non inscrit;Autre
SAT-000092;VOL-035641;AF1166;2024-08-27;CDG → FCO;Court-courrier;Business;7.4;6.8;10.0;8.4;8.1;4.7;6.1;Passif;Peut-être;Affaires;Non inscrit;Américaine
SAT-000093;VOL-015959;AF1209;2023-09-26;CDG → IST;Moyen-courrier;Business;7.1;4.3;5.4;9.3;6.7;9.4;5.9;Passif;Oui;Affaires;Explorer;Américaine
SAT-000094;VOL-045197;AF1182;2025-02-04;CDG → MUC;Court-courrier;Économique;6.4;5.2;7.3;6.2;8.3;7.6;6.8;Détracteur;Oui;Loisirs;Gold;Française
SAT-000095;VOL-023379;AF1263;2024-01-30;CDG → CMN;Court-courrier;Économique;7.0;5.2;6.6;6.8;8.4;10.0;5.7;Passif;Oui;Loisirs;Explorer;Américaine
SAT-000096;VOL-025638;AF7620;2024-03-08;CDG → BOD;Court-courrier;Premium Éco;7.6;6.6;8.4;8.2;6.6;9.5;8.5;Passif;Non;Affaires;Explorer;Américaine
SAT-000097;VOL-015692;AF1157;2023-09-21;CDG → AMS;Court-courrier;Business;7.5;9.2;6.7;5.8;7.7;8.4;6.3;Passif;Oui;Affaires;Silver;Autre
SAT-000098;VOL-050840;AF7132;2025-05-11;ORY → TLS;Court-courrier;Économique;8.3;5.9;5.9;8.4;8.7;10.0;9.2;Passif;Oui;Famille;Gold;Autre
SAT-000099;VOL-009452;AF7618;2023-06-09;CDG → NCE;Court-courrier;Business;8.9;9.6;9.7;8.1;9.0;10.0;6.2;Passif;Oui;Famille;Non inscrit;Française
SAT-000100;VOL-004119;AF7600;2023-03-11;CDG → MRS;Court-courrier;Premium Éco;6.8;7.9;5.4;7.6;5.4;9.2;6.1;Détracteur;Peut-être;Solo;Non inscrit;Autre
SAT-000101;VOL-014073;AF1278;2023-08-25;CDG → ABJ;Moyen-courrier;Économique;8.2;7.4;9.2;9.3;7.3;8.6;6.7;Passif;Oui;Famille;Non inscrit;Japonaise
SAT-000102;VOL-040242;AF1204;2024-11-12;CDG → ATH;Moyen-courrier;Économique;8.3;10.0;9.5;5.2;9.4;10.0;5.8;Passif;Oui;Famille;Explorer;Allemande
SAT-000103;VOL-038276;AF1172;2024-10-10;CDG → MAD;Court-courrier;Économique;7.5;5.0;10.0;4.2;9.8;9.6;5.8;Passif;Peut-être;Famille;Non inscrit;Française
SAT-000104;VOL-003918;AF0346;2023-03-07;CDG → RUN;Long-courrier;Premium Éco;5.9;7.6;6.4;6.7;8.2;1.0;8.1;Détracteur;Peut-être;Loisirs;Non inscrit;Américaine
SAT-000105;VOL-018048;AF1152;2023-10-31;CDG → LHR;Court-courrier;Économique;8.4;5.4;9.1;8.5;8.6;10.0;7.0;Passif;Oui;Affaires;Silver;Américaine
SAT-000106;VOL-041485;AF0286;2024-12-03;CDG → NRT;Long-courrier;Économique;8.2;8.3;9.4;7.9;7.7;9.6;7.0;Passif;Oui;Affaires;Silver;Autre
SAT-000107;VOL-029695;AF0232;2024-05-15;CDG → MIA;Long-courrier;Économique;8.5;10.0;7.4;9.5;7.8;9.6;5.6;Passif;Peut-être;Affaires;Explorer;Britannique
SAT-000108;VOL-005946;AF7600;2023-04-10;CDG → MRS;Court-courrier;Économique;7.6;9.1;5.5;4.2;8.3;8.0;7.4;Passif;Peut-être;Loisirs;Non inscrit;Française
SAT-000109;VOL-006381;AF1182;2023-04-18;CDG → MUC;Court-courrier;Économique;7.9;9.1;9.4;5.5;9.6;9.5;5.7;Passif;Oui;Loisirs;Explorer;Autre
SAT-000110;VOL-005874;AF7134;2023-04-09;ORY → NCE;Court-courrier;Économique;8.4;8.8;10.0;7.4;6.8;9.6;7.4;Passif;Oui;Affaires;Ultimate;Autre
SAT-000111;VOL-001811;AF7143;2023-01-31;ORY → LYS;Court-courrier;Économique;7.5;6.0;9.4;5.6;7.1;8.1;8.8;Passif;Non;Affaires;Non inscrit;Française
SAT-000112;VOL-024870;AF1159;2024-02-23;CDG → FRA;Court-courrier;Économique;7.5;7.0;6.6;5.1;8.0;8.8;7.5;Passif;Oui;Solo;Gold;Américaine
SAT-000113;VOL-035745;AF7607;2024-08-28;CDG → LYS;Court-courrier;Économique;7.6;7.6;6.1;5.6;8.5;10.0;8.5;Passif;Peut-être;Loisirs;Non inscrit;Américaine
SAT-000114;VOL-011968;AF7143;2023-07-22;ORY → LYS;Court-courrier;Économique;8.0;7.3;9.1;7.6;6.3;9.6;8.8;Passif;Oui;Famille;Non inscrit;Autre
SAT-000115;VOL-045945;AF1278;2025-02-18;CDG → ABJ;Moyen-courrier;Économique;8.4;6.6;9.2;8.8;9.2;8.3;8.3;Passif;Oui;Solo;Non inscrit;Française
SAT-000116;VOL-014658;AF7141;2023-09-04;ORY → BOD;Court-courrier;Business;8.1;8.6;7.3;8.5;9.2;10.0;6.9;Passif;Oui;Famille;Non inscrit;Brésilienne
SAT-000117;VOL-036602;AF1209;2024-09-12;CDG → IST;Moyen-courrier;Business;8.2;8.9;8.1;5.7;7.3;10.0;6.7;Passif;Oui;Loisirs;Explorer;Brésilienne
SAT-000118;VOL-025767;AF7143;2024-03-10;ORY → LYS;Court-courrier;Premium Éco;7.2;10.0;5.2;7.2;7.4;10.0;6.4;Passif;Non;Loisirs;Silver;Autre
SAT-000119;VOL-004207;AF1180;2023-03-12;CDG → LIS;Court-courrier;Économique;7.6;8.8;6.7;6.0;6.0;10.0;8.8;Passif;Peut-être;Affaires;Explorer;Japonaise
SAT-000120;VOL-030265;AF7145;2024-05-25;ORY → NTE;Court-courrier;Économique;6.4;7.7;4.6;4.9;8.6;7.9;5.4;Détracteur;Oui;Affaires;Non inscrit;Japonaise
SAT-000121;VOL-012370;AF7607;2023-07-28;CDG → LYS;Court-courrier;Premium Éco;7.1;7.3;8.4;6.2;7.1;8.8;6.3;Passif;Oui;Famille;Silver;Autre
SAT-000122;VOL-050903;AF7128;2025-05-13;ORY → MRS;Court-courrier;Business;7.8;9.4;8.0;7.4;7.1;9.2;4.8;Passif;Non;Loisirs;Gold;Américaine
SAT-000123;VOL-034608;AF0223;2024-08-09;CDG → SFO;Long-courrier;Business;9.1;7.9;9.5;8.1;8.9;9.1;8.8;Promoteur;Oui;Affaires;Explorer;Autre
SAT-000124;VOL-045029;AF7618;2025-02-02;CDG → NCE;Court-courrier;Économique;7.0;7.4;9.0;6.2;7.8;10.0;4.3;Passif;Oui;Famille;Explorer;Américaine
SAT-000125;VOL-046719;AF0211;2025-03-02;CDG → JFK;Long-courrier;Premium Éco;6.8;9.3;6.7;5.9;8.7;2.1;7.2;Détracteur;Oui;Affaires;Non inscrit;Britannique
SAT-000126;VOL-018233;AF1187;2023-11-03;CDG → VIE;Court-courrier;Business;9.2;9.4;10.0;8.5;9.0;8.3;9.2;Promoteur;Oui;Loisirs;Gold;Brésilienne
SAT-000127;VOL-016739;AF1180;2023-10-09;CDG → LIS;Court-courrier;Économique;6.7;6.7;1.8;8.6;7.3;9.9;6.8;Détracteur;Peut-être;Loisirs;Non inscrit;Autre
SAT-000128;VOL-016981;AF1166;2023-10-14;CDG → FCO;Court-courrier;Économique;7.6;6.2;7.1;6.4;8.5;9.3;8.3;Passif;Peut-être;Loisirs;Explorer;Française
SAT-000129;VOL-051336;AF7134;2025-05-20;ORY → NCE;Court-courrier;Économique;8.4;6.2;10.0;7.3;8.4;7.9;8.8;Passif;Oui;Affaires;Non inscrit;Française
SAT-000130;VOL-041404;AF1263;2024-12-02;CDG → CMN;Court-courrier;Économique;7.7;9.1;6.9;7.0;8.1;9.7;7.5;Passif;Peut-être;Affaires;Explorer;Britannique
SAT-000131;VOL-004248;AF7143;2023-03-13;ORY → LYS;Court-courrier;Économique;7.7;6.0;7.1;6.9;7.4;10.0;9.6;Passif;Oui;Loisirs;Non inscrit;Britannique
SAT-000132;VOL-036872;AF7618;2024-09-16;CDG → NCE;Court-courrier;Premium Éco;7.4;7.8;4.1;9.1;7.4;9.8;5.8;Passif;Peut-être;Affaires;Non inscrit;Britannique
SAT-000133;VOL-048345;AF0223;2025-03-31;CDG → SFO;Long-courrier;Économique;6.6;7.4;4.4;7.0;7.4;7.6;5.1;Détracteur;Oui;Affaires;Non inscrit;Autre
SAT-000134;VOL-043195;AF1209;2025-01-01;CDG → IST;Moyen-courrier;Économique;6.5;6.5;7.3;2.8;6.6;8.4;7.7;Détracteur;Oui;Famille;Non inscrit;Française
SAT-000135;VOL-043331;AF0304;2025-01-03;CDG → BKK;Long-courrier;Économique;8.5;10.0;7.6;8.1;10.0;2.8;10.0;Passif;Oui;Affaires;Non inscrit;Allemande
SAT-000136;VOL-012604;AF7607;2023-08-01;CDG → LYS;Court-courrier;Économique;8.0;5.9;7.1;8.4;8.0;10.0;7.0;Passif;Peut-être;Solo;Non inscrit;Autre
SAT-000137;VOL-035910;AF0228;2024-08-31;CDG → YUL;Long-courrier;Économique;7.0;8.1;9.4;5.1;7.6;7.6;5.9;Passif;Peut-être;Loisirs;Explorer;Française
SAT-000138;VOL-015747;AF1330;2023-09-22;CDG → DOH;Moyen-courrier;Économique;7.4;6.8;5.7;8.3;6.5;7.9;9.3;Passif;Oui;Solo;Ultimate;Autre
SAT-000139;VOL-043739;AF1334;2025-01-10;CDG → TLV;Moyen-courrier;Business;6.7;6.4;7.6;8.2;7.6;1.0;10.0;Détracteur;Oui;Loisirs;Silver;Française
SAT-000140;VOL-038495;AF7607;2024-10-14;CDG → LYS;Court-courrier;Économique;6.5;9.5;5.8;6.7;7.6;4.2;7.6;Détracteur;Peut-être;Affaires;Gold;Française
